"Marital status","Application mode","Application order","Course","Daytime/evening attendance","Previous qualification","Previous qualification (grade)","Nacionality","Admission grade","Displaced","Educational special needs","Debtor","Tuition fees up to date","Gender","Scholarship holder","Age at enrollment","International","Curricular units 1st sem (credited)","Curricular units 2nd sem (credited)","Unemployment rate","Inflation rate","GDP","Target","total_enrolled","total_approved","avg_grade","units_without_evaluation","units_with_evaluation","parental_scores"
1,17,5,171,1,1,122,1,127.3,1,0,0,1,1,0,20,0,0,0,10.8,1.4,1.74,"Dropout",0,0,0,0,0,2.41176470588235
1,15,1,9254,1,1,160,1,142.5,1,0,0,0,1,0,19,0,0,0,13.9,-0.3,0.79,"Graduate",12,12,13.8333333333333,0,12,2.41176470588235
1,1,5,9070,1,1,122,1,124.8,1,0,0,0,1,0,19,0,0,0,10.8,1.4,1.74,"Dropout",12,0,0,0,0,1.47058823529412
1,17,2,9773,1,1,122,1,119.6,1,0,0,1,0,0,20,0,0,0,9.4,-0.8,-3.12,"Graduate",12,11,12.9142857142857,0,18,2.17647058823529
2,39,1,8014,0,1,100,1,141.5,0,0,0,1,0,0,45,0,0,0,13.9,-0.3,0.79,"Graduate",12,11,12.6666666666667,0,15,1.47058823529412
2,39,1,9991,0,19,133.1,1,114.8,0,0,1,1,1,0,50,0,0,0,16.2,0.3,-0.92,"Graduate",10,10,11.6785714285714,5,27,1.94117647058824
1,1,1,9500,1,1,142,1,128.4,1,0,0,1,0,1,18,0,0,0,15.5,2.8,-4.06,"Graduate",15,15,13.8225,0,17,2.88235294117647
1,18,4,9254,1,1,119,1,113.1,1,0,0,0,1,0,22,0,0,0,15.5,2.8,-4.06,"Dropout",10,0,0,0,10,1.47058823529412
1,1,3,9238,1,1,137,62,129.3,0,0,0,1,0,1,21,1,0,0,16.2,0.3,-0.92,"Graduate",12,12,14.0089285714285,0,15,1.47058823529412
1,1,1,9238,1,1,138,1,123,1,0,1,0,0,0,18,0,0,0,8.9,1.4,3.51,"Dropout",12,7,12.45,0,23,2.64705882352941
1,1,1,9670,1,1,139,1,130.6,1,0,0,1,0,0,18,0,0,0,13.9,-0.3,0.79,"Graduate",12,11,13.2666666666666,0,13,2.64705882352941
1,1,1,9500,1,1,136,1,119.3,1,0,0,1,0,1,18,0,0,0,12.7,3.7,-1.7,"Graduate",16,14,13.2142857142857,0,16,1.94117647058824
1,1,2,9853,1,1,133,1,130.2,1,0,0,1,0,0,19,0,0,0,12.7,3.7,-1.7,"Dropout",12,0,0,0,6,2.17647058823529
1,53,1,9254,1,42,110,1,111.8,1,0,0,1,0,1,21,0,0,0,8.9,1.4,3.51,"Graduate",12,11,10.7857142857142,0,15,2.17647058823529
1,1,1,9085,1,1,149,1,137.1,1,0,0,1,0,1,18,0,0,0,10.8,1.4,1.74,"Graduate",10,9,12.625,0,12,1.94117647058824
1,1,1,9773,1,1,127,1,120.7,1,0,0,1,0,0,20,0,0,0,15.5,2.8,-4.06,"Dropout",12,5,6.6,0,13,2.41176470588235
1,18,1,9238,1,1,137,1,137.4,1,0,0,1,0,0,18,0,0,0,10.8,1.4,1.74,"Enrolled",12,3,11.5,0,24,2.41176470588235
